CGNDB ID,Geographical Name,ISO Language Code,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IAHDU,Willow Creek,und,Undetermined,,Creek,Water Feature,RIV,0c85900f849c20c314d8323e24170f8c,49.7702778,-113.3505556,9-25-W4,Alberta,1000000,1941-12-03,AB-Ministry of Culture and Status of Women
IALSM,Willow Creek Provincial Park,und,Undetermined,,Provincial Park,Administrative Area,PARK,0c87b164849c20c38502f60478ee37c4,50.1172223,-113.7691667,13-28-W4,Alberta,1000000,1976-12-31,AB-Ministry of Culture and Status of Women
IAPJQ,Willow Island,und,Undetermined,,Island,Terrain Feature,ISL,0c898d4b849c20c383cb8ea627c4930f,58.6175000,-110.4741667,111-3-W4,Alberta,250000,1954-06-03,AB-Ministry of Culture and Status of Women
IAARZ,Willow Island,und,Undetermined,,Island,Terrain Feature,ISL,0c82a533849c20c3badd8516730e26f1,50.8230555,-113.3825000,"34,35-21-25-W4",Alberta,250000,1957-05-02,AB-Ministry of Culture and Status of Women
IAPJP,Willow Island,und,Undetermined,,Island,Terrain Feature,ISL,0c898d0b849c20c377ca5aba06783202,56.8683333,-111.4300000,91-9-W4,Alberta,250000,1955-02-02,AB-Ministry of Culture and Status of Women
IATBM,Willow Lake,und,Undetermined,,Lake,Water Feature,LAKE,e28593acd05211d892e2080020a0f4c9,56.4580555,-111.1413889,13-86-8-W4,Alberta,1000000,1992-01-22,AB-Ministry of Culture and Status of Women
IAPLP,Willow Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c8993dc849c20c3c75b44efb9699287,52.6869445,-110.7627778,11-43-6-W4,Alberta,250000,1951-04-05,AB-Ministry of Culture and Status of Women
IAPLQ,Willow Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89941f849c20c3d9dd3c86967bdb3e,54.2625000,-110.2055556,11-61-2-W4,Alberta,250000,1950-07-06,AB-Ministry of Culture and Status of Women
IASWG,Willow Opening,und,Undetermined,,Meadow,Feature Associated with Vegetation,VEGL,0cae2389849c20c34ed21501ff474bd7,55.1605556,-116.2555556,20-71-15-W5,Alberta,50000,1991-10-03,AB-Ministry of Culture and Status of Women
IATCQ,Willow Opening Creek,und,Undetermined,,Creek,Water Feature,RIV,e2dbca01d05211d892e2080020a0f4c9,55.1983333,-116.1994444,35-71-15-W5,Alberta,250000,1991-10-03,AB-Ministry of Culture and Status of Women
IAPJU,Willow Point,und,Undetermined,,Point,Terrain Feature,CAPE,0c898dee849c20c3db35927ef412b478,58.4425000,-111.9911111,109-12-W4,Alberta,250000,1954-06-03,AB-Ministry of Culture and Status of Women
IAPJT,Willow Point,und,Undetermined,,Point,Terrain Feature,CAPE,0c898d8c849c20c3443b6407b784cc00,55.5047222,-116.1447222,9-19-75-14-W5,Alberta,50000,1947-09-04,AB-Ministry of Culture and Status of Women
IAPJW,Willow River,und,Undetermined,,River,Water Feature,RIV,0c898e2f849c20c3469db04fc0b7f138,55.9775000,-113.9141667,80-25-W4,Alberta,1000000,1945-12-08,AB-Ministry of Culture and Status of Women
IAAMM,Willow Valley,und,Undetermined,,Valley,Terrain Feature,VALL,0c82a2a7849c20c3afe176c7465e8fab,49.7719444,-114.2927778,"9,10-3-W5M",Alberta,250000,1982-07-21,AB-Ministry of Culture and Status of Women
IAGJT,Willowbend Reservoir,und,Undetermined,,Reservoir,Water Feature,LAKE,0c853092849c20c396df0f77fe89acc5,51.6391667,-111.7311111,31-12-W4,Alberta,50000,1952-01-17,AB-Ministry of Culture and Status of Women
IAPKB,Willson Creek,und,Undetermined,,Creek,Water Feature,RIV,0c898e9b849c20c356cefe686382e0d7,51.8216667,-115.1911111,33-9-W5,Alberta,250000,1956-11-02,AB-Ministry of Culture and Status of Women
IAPKC,Wilson,und,Undetermined,,Locality,Populated Place,UNP,0c898f51849c20c337a5440c4174d900,49.6005555,-112.6480556,33-7-20-W4,Alberta,250000,1939-12-12,AB-Ministry of Culture and Status of Women
IAPKD,Wilson Coulee,und,Undetermined,,Coulee,Terrain Feature,VALL,0c898f08849c20c33275af3aada27fa4,50.7697222,-114.0197222,21-1-W5,Alberta,50000,1940-01-19,AB-Ministry of Culture and Status of Women
IAPKE,Wilson Creek,und,Undetermined,,Creek,Water Feature,RIV,0c898fdc849c20c37029db4e36ee2c4b,52.6594444,-114.5472222,32-42-4-W5,Alberta,250000,1951-08-02,AB-Ministry of Culture and Status of Women
IAPKG,Wilson Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89901c849c20c3b1c7230095c5ebb9,52.0969445,-116.4144444,36-17-W5,Alberta,50000,1960-07-07,AB-Ministry of Culture and Status of Women
IAPKF,Wilson Creek,und,Undetermined,,Creek,Water Feature,RIV,0c898f92849c20c3378e538445102149,54.8688889,-118.9452778,68-7-W6,Alberta,250000,1957-10-03,AB-Ministry of Culture and Status of Women
IAQNY,Wilson Icefield,und,Undetermined,,Icefield,Ice and Snow Feature,GLAC,9c4e0850c6cb11d892e2080020a0f4c9,52.0180556,-116.8000000,,Alberta,250000,1981-09-15,AB-Ministry of Culture and Status of Women
IAPKK,Wilson Lake,und,Undetermined,,Lake,Water Feature,LAKE,55f0f4dec6be11d892e2080020a0f4c9,54.9255556,-119.0480556,68-7-W6,Alberta,250000,1963-03-25,AB-Ministry of Culture and Status of Women
IAPKN,Wilson Range,und,Undetermined,,Range,Terrain Feature,MTN,a11f41c5d05411d892e2080020a0f4c9,49.0036111,-113.8563889,1-29-W4,Alberta,50000,1943-05-19,AB-Ministry of Culture and Status of Women
IASUU,Wilson Ridge,und,Undetermined,,Ridge,Terrain Feature,MTN,0cae168b849c20c3d8b4eee26a9af677,54.9219445,-118.9672222,26-68-7-W6,Alberta,50000,1991-10-03,AB-Ministry of Culture and Status of Women
IAPKO,Wimborne,und,Undetermined,,Hamlet,Populated Place,UNP,0c899076849c20c3768b1f6733ad7407,51.8661111,-113.5950000,26-33-26-W4,Alberta,1000000,1955-01-20,AB-Ministry of Culture and Status of Women
IAPKP,Winagami,und,Undetermined,,Railway Point,Populated Place,UNP,0cffd317849c20c31b1090ab44304188,55.7127778,-116.9450000,31-77-19-W5,Alberta,50000,1947-09-04,AB-Ministry of Culture and Status of Women
IAPKQ,Winagami Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c8990f7849c20c3f8f9cb3d06dbc173,55.6455555,-116.7700000,"76,77-18,19-W5",Alberta,1000000,1947-09-04,AB-Ministry of Culture and Status of Women
IAPKR,Winagami Lake Provincial Park,und,Undetermined,,Provincial Park,Administrative Area,PARK,0c8990b7849c20c3d173679c20aafc70,55.6433333,-116.6797222,"76,77-17,18-W5",Alberta,1000000,1970-12-31,AB-Ministry of Culture and Status of Women
IAPKS,Winchell Coulée,und,Undetermined,,Coulée,Terrain Feature,VALL,a12a6556d05411d892e2080020a0f4c9,51.4547222,-114.6244444,"2,3-29-5-W5",Alberta,50000,1973-06-21,AB-Ministry of Culture and Status of Women
IAREH,Winchester Creek,und,Undetermined,,Creek,Water Feature,RIV,0c8a0500849c20c3947586e7234d55e5,51.6169445,-115.4755556,,Alberta,50000,1986-07-28,AB-Ministry of Culture and Status of Women
IAPKU,Wind Creek,und,Undetermined,,Creek,Water Feature,RIV,55fab8dfc6be11d892e2080020a0f4c9,51.0216667,-115.2550000,24-9-W5,Alberta,50000,1958-08-07,AB-Ministry of Culture and Status of Women
IAQVX,Wind Mountain,und,Undetermined,,Mountain,Terrain Feature,MTN,7b632a19c5f711d892e2080020a0f4c9,50.9541667,-115.2461111,18-23-9-W5,Alberta,50000,1985-01-14,AB-Ministry of Culture and Status of Women
IAPLJ,Wind Ridge,und,Undetermined,,Ridge,Terrain Feature,MTN,0c8992f3849c20c366d5b35bac43814d,51.0202778,-115.2925000,02-024-10-W5,Alberta,250000,1958-08-07,AB-Ministry of Culture and Status of Women
IAPKW,Windfall,und,Undetermined,,Hamlet,Populated Place,UNP,0cffd359849c20c34cb8914bcadfeafa,54.1833334,-116.2108333,17-60-15-W5,Alberta,250000,1962-04-30,AB-Ministry of Culture and Status of Women
IAPKX,Windfall Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89913e849c20c3c0cad53f07640220,51.7755556,-115.2288889,32-9-W5,Alberta,50000,1960-07-07,AB-Ministry of Culture and Status of Women
IAPKY,Windfall Creek,und,Undetermined,,Creek,Water Feature,RIV,0c8991be849c20c38aa41c3b47ba1306,54.2327778,-116.1727778,60-15-W5,Alberta,1000000,1956-11-02,AB-Ministry of Culture and Status of Women
IAPLA,Windfall Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c899204849c20c3597daa8be851ba66,54.6747223,-112.4077778,65-16-W4,Alberta,250000,1948-01-06,AB-Ministry of Culture and Status of Women
IAPKZ,Windfall Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89917e849c20c33551918aa7805ad0,54.7172222,-114.7461111,66-5-W5,Alberta,250000,1945-12-08,AB-Ministry of Culture and Status of Women
IAPLH,Window Mountain Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c899267849c20c341e076a5ea9d715d,49.7613889,-114.6405556,29-9-5-W5,Alberta,250000,1978-05-09,AB-Ministry of Culture and Status of Women
IAPLL,Windsor Creek,und,Undetermined,,Creek,Water Feature,RIV,882cc2a6ba3411d892e2080020a0f4c9,55.2102778,-119.8005556,5-72-12-W6,Alberta,250000,1961-03-02,AB-Ministry of Culture and Status of Women
